2023-08-24 15:21:05.137980: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2023-08-24 15:21:05.138022: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2023-08-24 15:21:09.759363: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory
2023-08-24 15:21:09.759396: W tensorflow/stream_executor/cuda/cuda_driver.cc:269] failed call to cuInit: UNKNOWN ERROR (303)
2023-08-24 15:21:09.759419: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (bnode0316.rc.int.colorado.edu): /proc/driver/nvidia/version does not exist
2023-08-24 15:21:09.759779: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
WARNING:tensorflow:No training configuration found in the save file, so the model was *not* compiled. Compile it manually.
/projects/etpi5866/igm2/igm/modules/preproc/optimize.py:736: RuntimeWarning: invalid value encountered in divide
  costs[:, i] /= np.max(costs[:, i])
WARNING:tensorflow:No training configuration found in the save file, so the model was *not* compiled. Compile it manually.
                   Step  |  ICE_VOL |  COST_U  |  COST_H  |  COST_D  |  COST_S  |   REGU_H |   REGU_S | COST_GLEN  
OPTI 15:21:22 :        0 |    22.74 |   6444.71 |     0.00 |     0.00 |     0.00 |   346.92 |     0.00 |    21.86 |
OPTI 15:22:24 :       10 |    22.74 |   742.65 |     0.00 |     0.00 |     0.00 |   319.76 |     0.00 |     0.81 |
OPTI 15:23:25 :       20 |    22.74 |   513.97 |     0.00 |     0.00 |     0.00 |   300.01 |     0.00 |    -0.10 |
OPTI 15:24:26 :       30 |    22.73 |   496.27 |     0.00 |     0.00 |     0.00 |   292.64 |     0.01 |    -0.22 |
OPTI 15:25:28 :       40 |    22.73 |   483.95 |     0.00 |     0.00 |     0.00 |   289.85 |     0.01 |    -0.27 |
OPTI 15:26:30 :       50 |    22.73 |   491.45 |     0.00 |     0.00 |     0.00 |   287.70 |     0.01 |    -0.30 |
OPTI 15:27:31 :       60 |    22.73 |   492.05 |     0.00 |     0.00 |     0.00 |   286.61 |     0.01 |    -0.32 |
OPTI 15:28:33 :       70 |    22.72 |   495.24 |     0.00 |     0.00 |     0.00 |   285.83 |     0.01 |    -0.34 |
OPTI 15:29:35 :       80 |    22.72 |   497.93 |     0.00 |     0.00 |     0.00 |   284.77 |     0.01 |    -0.35 |
OPTI 15:30:37 :       90 |    22.72 |   501.25 |     0.00 |     0.00 |     0.00 |   283.02 |     0.02 |    -0.36 |
OPTI 15:31:39 :      100 |    22.71 |   503.47 |     0.00 |     0.00 |     0.00 |   281.64 |     0.02 |    -0.37 |
OPTI 15:32:40 :      110 |    22.71 |   506.09 |     0.00 |     0.00 |     0.00 |   280.47 |     0.03 |    -0.38 |
OPTI 15:33:42 :      120 |    22.71 |   508.71 |     0.00 |     0.00 |     0.00 |   279.44 |     0.04 |    -0.38 |
OPTI 15:34:43 :      130 |    22.70 |   510.55 |     0.00 |     0.00 |     0.00 |   278.31 |     0.04 |    -0.38 |
OPTI 15:35:44 :      140 |    22.70 |   511.99 |     0.00 |     0.00 |     0.01 |   277.12 |     0.06 |    -0.39 |
OPTI 15:36:46 :      150 |    22.70 |   512.43 |     0.00 |     0.00 |     0.01 |   275.91 |     0.07 |    -0.39 |
OPTI 15:37:48 :      160 |    22.69 |   512.23 |     0.00 |     0.00 |     0.01 |   274.72 |     0.09 |    -0.39 |
OPTI 15:38:50 :      170 |    22.69 |   512.05 |     0.00 |     0.00 |     0.01 |   273.62 |     0.11 |    -0.39 |
OPTI 15:39:51 :      180 |    22.69 |   511.54 |     0.00 |     0.00 |     0.01 |   272.53 |     0.13 |    -0.40 |
OPTI 15:40:53 :      190 |    22.68 |   511.32 |     0.00 |     0.00 |     0.01 |   271.47 |     0.15 |    -0.40 |
OPTI 15:41:55 :      200 |    22.68 |   511.41 |     0.00 |     0.00 |     0.01 |   270.47 |     0.17 |    -0.40 |
OPTI 15:42:56 :      210 |    22.67 |   511.90 |     0.00 |     0.00 |     0.01 |   269.50 |     0.20 |    -0.40 |
OPTI 15:43:57 :      220 |    22.67 |   512.75 |     0.00 |     0.00 |     0.01 |   268.59 |     0.23 |    -0.40 |
OPTI 15:44:59 :      230 |    22.67 |   513.53 |     0.00 |     0.00 |     0.02 |   267.75 |     0.27 |    -0.40 |
OPTI 15:46:01 :      240 |    22.66 |   514.65 |     0.00 |     0.00 |     0.02 |   266.88 |     0.30 |    -0.41 |
OPTI 15:47:05 :      250 |    22.66 |   515.45 |     0.00 |     0.00 |     0.02 |   266.15 |     0.34 |    -0.41 |
OPTI 15:48:09 :      260 |    22.66 |   516.78 |     0.00 |     0.00 |     0.02 |   265.51 |     0.38 |    -0.41 |
OPTI 15:49:13 :      270 |    22.65 |   517.73 |     0.00 |     0.00 |     0.02 |   264.92 |     0.42 |    -0.41 |
OPTI 15:50:18 :      280 |    22.65 |   518.68 |     0.00 |     0.00 |     0.03 |   264.40 |     0.46 |    -0.41 |
OPTI 15:51:22 :      290 |    22.64 |   519.70 |     0.00 |     0.00 |     0.03 |   263.96 |     0.50 |    -0.41 |
OPTI 15:52:26 :      300 |    22.64 |   520.55 |     0.00 |     0.00 |     0.03 |   263.52 |     0.55 |    -0.41 |
OPTI 15:53:30 :      310 |    22.63 |   521.32 |     0.00 |     0.00 |     0.03 |   263.11 |     0.59 |    -0.42 |
OPTI 15:54:35 :      320 |    22.63 |   522.03 |     0.00 |     0.00 |     0.04 |   262.70 |     0.64 |    -0.42 |
OPTI 15:55:39 :      330 |    22.63 |   522.79 |     0.00 |     0.00 |     0.04 |   262.22 |     0.68 |    -0.42 |
OPTI 15:56:41 :      340 |    22.62 |   523.30 |     0.00 |     0.00 |     0.04 |   261.77 |     0.73 |    -0.42 |
OPTI 15:57:45 :      350 |    22.62 |   523.85 |     0.00 |     0.00 |     0.04 |   261.28 |     0.77 |    -0.42 |
OPTI 15:58:50 :      360 |    22.61 |   524.50 |     0.00 |     0.00 |     0.05 |   260.84 |     0.82 |    -0.42 |
OPTI 15:59:54 :      370 |    22.61 |   525.09 |     0.00 |     0.00 |     0.05 |   260.44 |     0.87 |    -0.42 |
OPTI 16:00:59 :      380 |    22.60 |   525.60 |     0.00 |     0.00 |     0.05 |   260.01 |     0.91 |    -0.42 |
OPTI 16:02:03 :      390 |    22.60 |   525.89 |     0.00 |     0.00 |     0.06 |   259.61 |     0.96 |    -0.42 |
OPTI 16:03:07 :      400 |    22.60 |   526.34 |     0.00 |     0.00 |     0.06 |   259.22 |     1.01 |    -0.43 |
OPTI 16:04:11 :      410 |    22.59 |   526.62 |     0.00 |     0.00 |     0.06 |   258.86 |     1.05 |    -0.43 |
OPTI 16:05:15 :      420 |    22.59 |   526.62 |     0.00 |     0.00 |     0.07 |   258.55 |     1.10 |    -0.43 |
OPTI 16:06:19 :      430 |    22.58 |   527.30 |     0.00 |     0.00 |     0.07 |   258.17 |     1.15 |    -0.43 |
OPTI 16:07:23 :      440 |    22.58 |   527.41 |     0.00 |     0.00 |     0.07 |   257.81 |     1.19 |    -0.43 |
OPTI 16:08:28 :      450 |    22.57 |   532.60 |     0.00 |     0.00 |     0.08 |   257.10 |     1.23 |    -0.44 |
OPTI 16:09:33 :      460 |    22.57 |   526.02 |     0.00 |     0.00 |     0.08 |   256.80 |     1.28 |    -0.44 |
OPTI 16:10:37 :      470 |    22.56 |   526.47 |     0.00 |     0.00 |     0.08 |   256.40 |     1.34 |    -0.44 |
OPTI 16:11:40 :      480 |    22.56 |   525.58 |     0.00 |     0.00 |     0.09 |   256.04 |     1.39 |    -0.44 |
OPTI 16:12:43 :      490 |    22.55 |   524.74 |     0.00 |     0.00 |     0.09 |   256.02 |     1.45 |    -0.44 |
OPTI 16:13:48 :      500 |    22.55 |   524.60 |     0.00 |     0.00 |     0.10 |   255.94 |     1.52 |    -0.44 |
OPTI 16:14:52 :      510 |    22.54 |   524.08 |     0.00 |     0.00 |     0.10 |   255.98 |     1.59 |    -0.44 |
OPTI 16:15:56 :      520 |    22.54 |   523.71 |     0.00 |     0.00 |     0.11 |   255.99 |     1.66 |    -0.44 |
OPTI 16:17:00 :      530 |    22.53 |   523.46 |     0.00 |     0.00 |     0.11 |   256.00 |     1.74 |    -0.44 |
OPTI 16:18:04 :      540 |    22.53 |   523.08 |     0.00 |     0.00 |     0.12 |   256.00 |     1.82 |    -0.44 |
OPTI 16:19:08 :      550 |    22.52 |   522.25 |     0.00 |     0.00 |     0.12 |   256.10 |     1.91 |    -0.44 |
